ID;UM_NAMES
411;ул. Кухмистерова
412;Кучин пер.
413;ул. Лавочкина
414;Лавров пер.
415;Лаврский пер.
416;Лаврушинский пер.
417;Ладожская ул.
418;ул. Адмирала Лазарева
419;Лазаревский пер.
420;1-я ул. Лазенки
421;2-я ул. Лазенки
422;3-я ул. Лазенки
423;4-я ул. Лазенки
424;5-я ул. Лазенки
425;6-я ул. Лазенки
426;7-я ул. Лазенки
427;ул. Лазо
428;Лазоревый пр.
429;Ландышевая ул.
430;Ланинский пер.
431;ул. Лапина
432;ул. Лебедева
433;Лебедянская ул.
434;Лебяжий пер.
435;пл. Ле Зуана
436;ул. Леваневского
437;ул. Левитана
438;Левобережная ул.
439;ул. Ирины Левченко
440;М. Лёвшинский пер.
441;Левый туп.
442;ул. Ленивка
443;ул. Ленина
444;Ленинградский просп.
445;ул. Ленина
446;Ленинградское ш.
447;Лениногорская ул.
448;ул. Ленинская Слобода
449;Павелецкая пл.
450;Ленинский просп.
451;Ленская ул.
452;1-я ул. Леонова
453;1-й пр. Леонова
454;Лермонтовский просп.
455;Лермонтовская пл.
456;Лермонтовская ул.
457;ул. Лескова
458;Лесная ул.
459;Лесная ул.
460;Лесная ул.
461;1-й Лесной пер.
462;2-й Лесной пер.
463;3-й Лесной пер.
464;4-й Лесной пер.
465;Лесной пер.
466;Лесной туп.
467;Леснорядская ул.
468;2-я Леснорядская ул.
469;Леснорядский пер.
470;аллея Лесные Пруды
471;аллея Патриарха Алексия II
472;ул. Лестева
473;Лётная ул.
474;Летниковская ул.
475;Летняя аллея
476;Летняя ул.
477;Лефортовская пл.
478;Лефортовская наб.
479;ул. Лефортовский Вал
480;Лефортовский пер.
481;Лечебная ул.
482;Ливенская ул.
483;Лианозовский пр.
484;Линейный пр.
485;Липецкая ул.
486;Липовая аллея
487;ул. Липчанского
488;Лисичанская ул.
489;Лиственничная аллея
490;Листопадная ул.
491;ул. Литвина-Седого
492;Литовский бульв.
493;1-й Лихачёвский пер.
494;2-й Лихачёвский пер.
495;3-й Лихачёвский пер.
496;4-й Лихачёвский пер.
497;Лихоборская наб.
498;ул. Лихоборские Бугры
499;3-й Нижнелихоборский пр.
500;Лихов пер.
501;ул. Лобанова
502;ул. Лобачевского
503;ул. Лобачика
504;Лобненская ул.
505;Лодочная ул.
506;Локомотивный пр.
507;Ломоносовский просп.
508;Лонгиновская ул.
509;ул. Луиджи Лонго
510;Лопухинский пер.
511;Лосевская ул.
512;Лосиноостровская ул.
513;Лосинский пр.
514;Лубочный пер.
515;ул. М. Лубянка
516;Луганская ул.
517;Луговая ул.
518;Луговая ул.
519;Луговой пр.
520;Лужнецкая наб.
521;Луговая ул.
522;Лужская ул.
523;Лужнецкий пр.
524;1-я ул. Лукино
525;2-я ул. Лукино
526;Лукинская ул.
527;Луков пер.
528;ул. Александра Лукьянова
529;Лукьяновский пр.
530;Лухмановская ул.
531;Глазовский пер.
532;Луховицкая ул.
533;1-й Лучевой просек
534;2-й Лучевой просек
535;3-й Лучевой просек
536;4-й Лучевой просек
537;5-й Лучевой просек
538;6-й Лучевой просек
539;Лучников пер.
540;Лыковский пр.
541;1-й Лыковский пр.
542;1-я Лыковская ул.
543;2-я Лыковская ул.
544;3-я Лыковская ул.
545;Лыткаринская ул.
546;Лыщиков пер.
547;ул. Львова
548;пл. Академика Люльки
549;1-й Люберецкий пр.
550;2-й Люберецкий пр.
551;3-й Люберецкий пр.
552;4-й Люберецкий пр.
553;Люблинская ул.
554;ул. Розы Люксембург
555;Люсиновская ул.
556;1-й Люсиновский пер.
557;3-й Люсиновский пер.
558;Лялин пер.
559;Лялина пл.
560;Ляминский пр.
561;ул. Ляпидевского
562;ул. Ляпунова
563;Магаданская ул.
564;Магазинный туп.
565;1-я Магистральная ул.
566;2-я Магистральная ул.
567;3-я Магистральная ул.
568;4-я Магистральная ул.
569;5-я Магистральная ул.
570;Магистральный пер.
571;1-й Магистральный пр.
572;1-й Магистральный туп.
573;2-й Магистральный туп.
574;Магнитогорская ул.
575;ул. Маёвок
576;Мажоров пер.
577;Мазиловская ул.
578;Майский просек
579;Майская ул.
580;ул. Макаренко
581;ул. Адмирала Макарова
582;ул. Татьяны Макаровой
583;Болотная ул.
584;ул. Сергея Макеева
585;Макеевская ул.
586;Космодамианская наб.
587;ул. Максимова
588;Малахитовая ул.
589;Маленковская ул.
590;Малинская ул.
591;ул. Маршала Малиновского
592;ул. Малыгина
593;Малыгинский пр.
594;ул. Малышева
595;Манежная ул.
596;Мансуровский пер.
597;Мантулинская ул.
598;Б. Ордынский пер.
599;М. Ордынский пер.
600;ул. Маргелова
601;ул. Маресьева
602;Мариупольская ул.
603;Староваганьковский пер.
604;Марксистская ул.
605;Марксистский пер.
606;Мароновский пер.
607;Мартеновская ул.
608;Мартыновский пер.
609;Б. Марфинская ул.
610;Марфинский пр.
611;Милютинский пер.
612;1-й пр. Марьиной Рощи
613;2-й пр. Марьиной Рощи
614;3-й пр. Марьиной Рощи
615;4-й пр. Марьиной Рощи
616;5-й пр. Марьиной Рощи
617;6-й пр. Марьиной Рощи
618;8-й пр. Марьиной Рощи
619;9-й пр. Марьиной Рощи
620;10-й пр. Марьиной Рощи
621;11-й пр. Марьиной Рощи
622;12-й пр. Марьиной Рощи
623;13-й пр. Марьиной Рощи
624;14-й пр. Марьиной Рощи
625;17-й пр. Марьиной Рощи
626;2-я ул. Марьиной Рощи
627;3-я ул. Марьиной Рощи
628;4-я ул. Марьиной Рощи
629;Б. Марьинская ул.
630;ул. Марьинский Парк
631;Марьинский бульв.
632;ул. Верх. Масловка
633;ул. Нижн. Масловка
634;ул. Мастеркова
635;Мастеровая ул.
636;Матвеевская ул.
637;ул. Матросова
638;ул. Матросская Тишина
639;Б. Матросский пер.
640;ул. Саморы Машела
641;1-я ул. Машиностроения
642;2-я ул. Машиностроения
643;Машкинское ш.
644;ул. Машкова
645;пер. Маяковского
646;ул. Маяковского
647;Старопименовский пер.
648;ул. Медведева
649;Медведковская ул.
650;Медвежий пер.
651;ул. Медиков
652;Медовый пер.
653;Медынская ул.
654;Международная ул.
655;Международное ш.
656;Ср. Международный пер.
657;Мелитопольский пр.
658;Мелитопольская ул.
659;1-я Мелитопольская ул.
660;2-я Мелитопольская ул.
661;Мелиховская ул.
662;Мелькисаровская ул.
663;ул. Мельникова
664;Мельницкий пер.
665;Менделеевская ул.
666;ул. Менжинского
667;Мерзляковский пер.
668;ул. Маршала Мерецкова
669;Поречная ул.
670;ул. Металлургов
671;М. Казённый пер.
672;Мещанская ул.
673;Мещерский пер.
674;Мещерский просп.
675;ул. Мещерякова
676;Микульский пер.
677;ул. Авиаконструктора Микояна
678;ул. Миклухо-Маклая
679;ул. Милашенкова
680;Милицейский пер.
681;Миллионная ул.
682;ул. Академика Миллионщикова
683;ул. Авиаконструктора Миля
684;Минаевский пер.
685;Минаевский пр.
686;Мининский пер.
687;Минская ул.
688;Минусинская ул.
689;ул. Мира
690;просп. Мира
691;Миргородский пр.
